YearRemodAdd,OverallCond,BsmtQual,LotArea,MSZoning,TotRmsAbvGrd,YearBuilt,LandContour,BsmtFinSF1,GarageCars,1stFlrSF,TotalBsmtSF,2ndFlrSF,GrLivArea,OverallQual,Saleprice
2005,7,TA,9250,RL,6,1954,Lvl,480,1,1056,1056,0,1056,5,139400
1980,5,TA,6979,RL,4,1980,Lvl,1056,2,1056,1056,0,1056,6,144000
1995,7,TA,10896,RH,14,1914,Bnk,256,0,1440,1440,1440,3395,6,200000
1950,3,TA,6120,RM,4,1936,Lvl,0,0,800,264,0,800,2,60000
1954,4,TA,6000,RM,7,1954,Lvl,0,1,811,811,576,1387,5,93000
1950,7,Fa,8777,RL,4,1910,Lvl,0,0,796,796,0,796,5,85000
2006,5,Gd,3982,RL,7,2006,Lvl,1154,3,1567,1520,0,1567,8,264561
2004,5,Ex,12677,RL,6,2003,Lvl,1218,2,1518,1518,0,1518,8,274000
2001,5,Gd,7050,FV,7,2001,Lvl,738,2,1057,1057,872,1929,7,226000
1995,7,Gd,13860,RL,9,1972,Lvl,1410,2,2000,1952,704,2704,8,345000
1969,5,TA,10793,RL,7,1969,Lvl,493,2,780,780,840,1620,5,152000
2009,5,Ex,9187,FV,7,2009,Lvl,1121,3,1766,1766,0,1766,9,370878
1971,5,TA,10530,RL,5,1971,Lvl,282,2,981,981,0,981,6,143250
1950,5,,7200,RL,7,1950,Lvl,0,2,1048,0,0,1048,5,98300
1953,5,TA,10452,RL,5,1953,Lvl,500,2,1094,1094,0,1094,6,155000
1966,5,TA,7700,RL,7,1966,Lvl,0,2,1051,756,788,1839,6,155000
1970,6,Gd,1936,RM,3,1970,Lvl,131,0,630,630,0,630,4,84500
2007,6,Gd,8125,FV,7,2007,Lvl,0,2,822,813,843,1665,7,205950
1950,5,TA,9084,RL,7,1940,Lvl,0,1,755,755,755,1510,4,108000
1996,5,Gd,8750,RL,7,1996,Lvl,0,2,909,880,807,1716,7,191000
1995,7,TA,10320,RM,7,1906,Lvl,0,1,756,756,713,1469,6,135000
1995,6,Gd,10437,RL,7,1995,Lvl,1696,3,2113,2109,0,2113,8,350000
1971,5,TA,1680,RM,6,1971,Lvl,0,1,525,525,567,1092,6,88000
2006,7,TA,10007,RL,5,1959,Lvl,806,1,1053,1053,0,1053,5,145500
2000,6,Gd,7200,RL,6,1931,HLS,0,1,851,776,651,1502,7,149000
1950,5,TA,17503,RL,6,1948,Lvl,0,1,912,912,546,1458,6,97500
1999,7,TA,9937,RL,7,1964,Lvl,637,2,1486,1486,0,1486,5,167000
1976,7,Gd,12384,RL,7,1976,Lvl,0,2,1142,793,793,1935,7,197900
2005,7,Gd,46589,RL,8,1994,Lvl,1361,3,1686,1629,762,2448,8,402000
1968,3,Fa,13560,RL,5,1968,Lvl,0,2,1392,1392,0,1392,6,110000
1972,5,Gd,10012,RL,6,1972,Lvl,920,2,1181,1138,0,1181,4,137500
2006,5,Ex,20896,RL,8,2005,Lvl,1721,3,2097,2077,0,2097,8,423000
2000,5,Gd,11194,RL,7,2000,Lvl,0,2,1454,1406,482,1936,8,230500
1979,5,Gd,18450,RL,7,1965,Lvl,187,2,1465,1021,915,2380,6,129000
1998,5,Gd,8125,RL,7,1994,Lvl,1138,2,1679,1408,0,1679,6,193500
1987,6,TA,14175,RL,6,1956,Bnk,988,2,1437,1188,0,1437,5,168000
1950,5,Fa,11600,RL,5,1922,Lvl,0,1,1180,700,0,1180,4,137500
2005,5,Gd,8633,RL,7,2005,Lvl,193,2,738,738,738,1476,6,173500
1950,6,TA,6629,RH,6,1925,Lvl,551,1,697,672,672,1369,6,103600
1977,6,Gd,11250,RL,6,1977,Lvl,767,2,1208,1208,0,1208,6,165000
2004,7,TA,14442,RL,7,1957,Lvl,1186,2,1839,1477,0,1839,6,257500
1965,6,TA,9200,RL,5,1965,Lvl,892,1,1136,1136,0,1136,6,140000
1978,6,TA,2289,RL,7,1978,Lvl,311,2,855,855,586,1441,6,148500
1950,2,TA,9600,RM,8,1900,Lvl,0,3,1095,1095,679,1774,4,87000
2006,8,TA,9022,RL,5,1924,Lvl,0,1,792,768,0,792,5,109500
2008,5,Ex,11844,RL,7,2008,Lvl,0,3,2046,2046,0,2046,8,372500
1961,5,TA,9945,RL,5,1961,Lvl,827,2,988,988,0,988,5,128500
1980,5,Gd,8012,RL,5,1980,Lvl,543,1,923,923,0,923,6,143000
2000,5,TA,4500,RH,6,1932,Bnk,182,1,848,793,672,1520,5,159434
1997,5,Gd,2887,RL,6,1996,HLS,1003,2,1291,1291,0,1291,6,173000
2002,5,Gd,11248,RL,7,2002,Lvl,1059,3,1668,1626,0,1668,9,285000
1998,5,Gd,16770,RL,7,1998,Lvl,0,2,1195,1195,644,1839,7,221000
1984,5,Gd,5062,RL,6,1984,Lvl,828,2,1190,1190,900,2090,7,207500
2007,6,Gd,10207,FV,7,2007,Lvl,0,2,874,874,887,1761,7,227875
2004,5,Gd,5105,FV,4,2004,Lvl,239,2,551,551,551,1102,7,148800
2007,6,Gd,8089,RL,7,2007,HLS,945,2,1419,1419,0,1419,8,392000
2006,5,Gd,7577,RL,6,2005,Lvl,20,2,1362,1362,0,1362,6,194700
2004,5,Gd,4426,RM,3,2004,Lvl,697,2,848,848,0,848,6,141000
1995,6,Ex,21535,RL,10,1994,Lvl,1455,3,2444,2444,1872,4316,10,755000
1990,5,Gd,26178,RL,9,1989,Lvl,965,2,1238,1210,1281,2519,7,335000
1968,6,TA,5400,RL,4,1921,Lvl,0,1,1073,1073,0,1073,5,108480
1950,6,TA,6120,RM,5,1936,Lvl,0,2,1067,927,472,1539,5,141500
1987,6,Gd,13811,RL,5,1987,Lvl,980,2,1137,1112,0,1137,6,176000
1950,7,TA,6000,RM,4,1921,Lvl,616,1,616,616,0,616,5,89000
1952,7,Ex,6420,RL,6,1952,Lvl,210,1,1148,980,0,1148,5,123500
2009,8,TA,8450,RL,5,1965,Lvl,553,1,894,894,0,894,5,138500
2004,5,Gd,4282,FV,5,2004,Lvl,16,2,1391,1391,0,1391,7,196000
2002,5,Ex,14331,RL,7,2002,Lvl,1274,3,1800,1800,0,1800,8,312500
1969,5,TA,9600,RL,6,1969,Lvl,0,2,1164,1164,0,1164,7,140000
2006,5,Ex,12438,RL,10,2006,Lvl,0,3,1264,1234,1312,2576,8,361919
1996,9,Gd,7630,RM,8,1900,Lvl,0,2,1032,360,780,1812,5,140000
2005,5,Gd,8400,RL,7,2004,Lvl,712,2,1484,1473,0,1484,7,213000
1950,5,,5600,RM,7,1930,Lvl,0,0,372,0,720,1092,4,55000
2002,5,Gd,115149,RL,5,1971,Low,1219,2,1824,1643,0,1824,7,302000
2006,5,Gd,6240,RL,6,2006,Lvl,863,2,1324,1324,0,1324,8,254000
2007,5,Gd,9018,RL,8,2007,Lvl,0,2,728,728,728,1456,7,179540
1966,7,TA,7162,RL,6,1966,Lvl,0,1,904,876,0,904,5,109900
2003,6,TA,4130,RL,5,1935,Lvl,0,0,729,270,0,729,3,52000
1950,7,TA,8712,C (all),7,1900,HLS,0,1,859,859,319,1178,4,102776
1989,5,Gd,4671,RL,5,1988,HLS,767,2,1228,1228,0,1228,8,189000
1970,5,TA,9873,RL,6,1970,Lvl,789,2,960,960,0,960,4,129000
2005,8,TA,13517,RL,6,1976,Lvl,533,2,725,725,754,1479,6,130500
1974,5,Gd,10140,RL,7,1974,Lvl,0,2,1350,1064,0,1350,6,165000
1998,8,TA,10800,RM,8,1890,Bnk,0,2,1576,718,978,2554,7,159500
2000,6,Gd,10000,RL,5,1973,Lvl,1084,2,1178,1176,0,1178,5,157000
1994,5,Gd,10542,RL,9,1993,Lvl,1173,3,1325,1311,1093,2418,7,341000
1969,6,Gd,9920,RL,5,1969,Lvl,523,1,971,971,0,971,5,128500
1985,5,Gd,6563,RL,5,1985,Low,1148,2,1742,1742,0,1742,8,275000
2004,5,Gd,4426,RM,3,2004,Lvl,662,2,848,848,0,848,6,143000
1970,7,TA,8120,RL,5,1970,Lvl,191,2,864,864,0,864,4,124500
1972,6,TA,8172,RL,7,1954,Lvl,0,1,997,941,473,1470,4,135000
2008,5,Ex,13286,RL,8,2007,Lvl,1234,3,1698,1698,0,1698,9,320000
1970,6,TA,6960,RL,5,1970,Lvl,375,2,864,864,0,864,4,120500
2007,9,Gd,21695,RL,5,1988,Lvl,808,2,1680,880,0,1680,6,222000
2007,5,Gd,7314,RL,6,2007,Lvl,724,2,1232,1232,0,1232,7,194500
1958,5,TA,11475,RL,9,1958,Lvl,0,3,1776,1584,0,1776,5,110000
1950,5,TA,6240,RM,5,1925,Lvl,152,2,848,780,0,1208,4,103000
1996,5,Gd,5389,RL,5,1995,Lvl,1180,2,1616,1595,0,1616,8,236500
2003,5,Ex,9590,RL,6,2003,Lvl,786,2,1146,868,0,1146,7,187500
1999,5,Gd,11404,RL,8,1998,Lvl,252,2,1153,1153,878,2031,7,222500
1983,6,TA,10000,RL,6,1961,Lvl,594,1,1144,864,0,1144,5,131400
1968,5,TA,8978,RL,6,1968,Lvl,0,1,948,948,0,948,5,108000
1970,7,Gd,10800,RM,6,1914,Lvl,390,2,880,880,888,1768,7,163000
1950,4,,8544,RL,6,1950,Lvl,0,2,1040,0,0,1040,3,93500
2005,5,Gd,10463,RL,8,2005,HLS,0,3,901,893,900,1801,8,239900
1988,5,Gd,10800,RL,5,1987,Lvl,1200,0,1200,1200,0,1200,5,179000
2004,5,Gd,9313,RL,7,2004,Lvl,0,2,864,864,864,1728,7,190000
2002,7,Fa,9600,RM,7,1910,Lvl,0,2,768,264,664,1432,5,132000
1996,8,TA,6768,RL,5,1961,Lvl,832,1,912,912,0,912,6,142000
2001,5,Gd,8450,RL,6,2000,Lvl,0,2,1349,1349,0,1349,7,179000
1999,6,Gd,12886,RL,6,1963,Lvl,444,2,1464,520,0,1464,5,175000
1993,5,Gd,5395,RL,5,1993,HLS,733,2,1337,1337,0,1337,8,180000
1996,9,TA,8963,RL,11,1976,Lvl,575,2,1175,1142,1540,2715,8,299800
2000,5,Gd,8795,RL,8,2000,Lvl,300,2,980,952,1276,2256,7,236000
2003,7,TA,11700,RM,8,1880,Lvl,0,4,1320,1240,1320,2640,7,265979
1996,5,Gd,10593,RL,7,1996,Lvl,919,2,1720,1720,0,1720,7,260400
1950,3,,8405,RL,9,1945,Lvl,0,1,1088,0,441,1529,4,98000
2004,7,TA,8800,RM,7,1910,Lvl,0,0,792,576,348,1140,4,96500
2003,5,Gd,7750,RL,6,2003,Lvl,0,2,660,660,660,1320,7,162000
1997,5,Gd,9236,RL,6,1997,Lvl,1200,2,1494,1479,0,1494,6,217000
2005,5,Gd,10240,RL,8,2005,Lvl,0,3,1038,1030,1060,2098,8,275500
2005,8,TA,7930,RL,5,1969,Lvl,439,2,1026,1026,0,1026,6,156000
1999,5,Gd,3230,FV,6,1999,Lvl,381,2,742,729,729,1471,6,172500
2007,5,Gd,10769,RL,7,2007,Lvl,20,2,866,866,902,1768,8,212000
1978,5,TA,11616,RL,6,1978,Lvl,438,2,672,672,714,1386,6,158900
1999,5,Gd,2280,FV,6,1999,Lvl,549,2,757,744,744,1501,7,179400
1995,5,Gd,12257,RL,9,1995,Lvl,56,3,1328,1318,1203,2531,8,290000
1959,6,TA,9100,RL,5,1959,Lvl,612,1,864,864,0,864,6,127500
1950,5,TA,6911,RM,5,1924,Lvl,405,2,1301,1145,0,1301,5,100000
2009,5,Gd,8640,FV,7,2009,Lvl,24,2,764,756,783,1547,7,215200
1999,5,Gd,9430,RL,8,1999,Lvl,1163,3,1268,1252,1097,2365,8,337000
1996,5,Gd,9549,RL,6,1995,Lvl,437,2,1494,1494,0,1494,8,270000
2008,5,Gd,14587,RL,6,2008,Lvl,0,2,1506,1498,0,1506,9,264132
1988,5,Gd,10421,RL,7,1988,Lvl,394,2,980,980,734,1714,7,196500
1985,7,Gd,12508,RL,7,1940,Lvl,660,1,983,983,767,1750,6,160000
2005,5,Gd,9100,RL,8,2004,Lvl,24,2,1836,1860,0,1836,7,216837
2003,5,Gd,53504,RL,12,2003,HLS,1416,3,1690,1650,1589,3279,8,538000
1982,5,Gd,7252,RL,5,1982,Lvl,685,2,858,858,0,858,5,134900
1951,5,Fa,8877,RL,6,1951,Lvl,836,2,1220,836,0,1220,4,102000
1976,5,TA,7819,RL,6,1976,Lvl,422,2,1117,1029,0,1117,6,107000
1958,5,TA,10150,RL,5,1958,Lvl,456,1,912,912,0,912,5,114500
2006,5,Gd,14226,RL,9,2006,Lvl,0,3,1973,1935,0,1973,8,395000
1998,5,Ex,4500,RM,5,1998,Lvl,866,2,1204,1204,0,1204,6,162000
2006,5,Gd,11210,RL,7,2005,Lvl,20,3,1614,1614,0,1614,7,221500
1974,5,TA,13350,RL,5,1974,Lvl,762,2,894,864,0,894,5,142500
1977,5,,8400,RH,10,1977,Lvl,0,2,2020,0,0,2020,5,144000
1977,5,Gd,10530,RL,4,1977,Lvl,975,2,1004,975,0,1004,6,135000
1996,5,Gd,7875,RL,6,1995,Lvl,0,2,1253,1237,0,1253,7,176000
1992,5,Gd,7153,RL,7,1992,Lvl,387,2,810,761,793,1603,6,175900
2002,5,Gd,16285,RL,6,2001,Lvl,0,2,1430,1413,0,1430,7,187100
1978,6,Gd,9101,RL,4,1978,Lvl,1097,2,1110,1097,0,1110,5,165500
2001,6,TA,6300,RM,9,1914,Lvl,0,0,742,742,742,1484,6,128000
1967,5,TA,9790,RL,7,1967,Lvl,251,2,1342,1372,0,1342,6,161500
1950,6,Fa,10800,RM,7,1915,Lvl,686,1,966,686,686,1652,5,139000
2004,5,Gd,10142,RL,8,2004,Lvl,656,2,956,956,1128,2084,7,233000
2000,7,TA,6000,RM,4,1954,Lvl,0,1,901,901,0,901,4,107900
2007,8,TA,12205,RL,9,1966,Low,568,2,976,832,1111,2087,6,187500
2006,5,Gd,3182,RL,5,2005,Lvl,16,2,1145,1145,0,1145,7,160200
1976,5,Gd,11333,RL,5,1976,Lvl,539,2,1062,1029,0,1062,6,146800
1997,5,Gd,9920,RL,8,1996,Lvl,862,2,1127,1117,886,2013,7,269790
2007,5,Gd,9158,RL,7,2007,Lvl,0,2,1496,1496,0,1496,8,225000
1996,5,Gd,10832,RL,7,1994,Lvl,0,2,1086,712,809,1895,7,194500
1981,6,Gd,8400,RL,7,1980,Lvl,0,2,888,650,676,1564,6,171000
1977,5,TA,8197,RL,7,1977,Lvl,0,2,1285,660,0,1285,6,143500
1953,5,TA,7677,RL,4,1953,Lvl,570,1,773,773,0,773,5,110000
2009,5,Ex,13518,RL,11,2008,Lvl,0,3,1966,1926,1174,3140,9,485000
1950,7,Gd,7200,RL,7,1937,Lvl,569,1,981,731,787,1768,5,175000
1997,5,Gd,12798,RL,8,1997,HLS,462,2,616,616,1072,1688,6,200000
1990,7,TA,4800,RM,5,1916,Lvl,197,2,1196,1196,0,1196,4,109900
2005,5,Gd,8199,RL,7,2005,Lvl,648,2,728,728,728,1456,7,189000
2009,5,Ex,13891,RL,12,2008,Lvl,0,3,1734,1734,1088,2822,9,582933
1954,5,TA,9000,RL,5,1954,Lvl,812,1,1128,936,0,1128,5,118000
2008,5,Gd,12274,RL,6,2008,Lvl,0,2,1428,1417,0,1428,7,227680
1967,5,TA,9750,RL,6,1967,Lvl,400,1,980,980,0,980,5,135500
2004,6,TA,21384,RL,6,1923,Lvl,1309,2,1072,1324,504,1576,5,223500
1966,5,TA,13400,RL,6,1966,Lvl,516,2,1086,1024,0,1086,5,159950
1965,5,TA,8100,RM,11,1898,Lvl,0,2,1075,849,1063,2138,5,106000
1999,6,TA,10140,RL,5,1974,Lvl,663,2,1309,1040,0,1309,6,181000
2004,5,Gd,4438,RM,4,2004,Lvl,662,2,848,848,0,848,6,144500
1952,5,TA,8712,C (all),4,1952,Bnk,0,2,1044,540,0,1044,5,55993
1958,6,TA,9750,RL,7,1958,Lvl,608,1,1442,1442,0,1442,6,157900
1950,7,TA,8248,RL,7,1918,Lvl,0,1,686,686,564,1250,5,116000
1998,5,Gd,12137,RL,6,1998,Lvl,0,2,1661,1649,0,1661,7,224900
1954,6,TA,11425,RL,4,1954,Lvl,486,1,1008,1008,0,1008,5,137000
2002,5,Gd,13265,RL,7,2002,Lvl,1218,3,1689,1568,0,1689,8,271000
1971,7,TA,8816,RL,6,1971,Lvl,504,2,1052,1010,0,1052,6,155000
2010,5,Gd,6371,RL,6,2009,Lvl,733,2,1358,1358,0,1358,7,224000
2003,5,Gd,7226,RL,6,2003,Lvl,0,2,798,798,842,1640,7,183000
1953,4,Fa,6000,RM,4,1953,Bnk,0,2,936,936,0,936,4,93000
2003,5,Gd,12394,RL,7,2003,Lvl,0,2,847,847,886,1733,7,225000
1950,7,TA,9900,RL,7,1940,Lvl,0,1,944,778,545,1489,6,139500
2006,5,Gd,11216,FV,7,2006,Lvl,0,2,1489,1489,0,1489,8,232600
2008,5,Ex,14803,RL,7,2007,Lvl,1636,3,2084,2078,0,2084,10,385000
1950,6,TA,6130,RM,5,1924,Lvl,784,0,784,784,0,784,5,109500
2001,5,Gd,8529,RL,6,2001,Lvl,20,2,1434,1454,0,1434,7,189000
1967,5,TA,28698,RL,7,1967,Low,249,2,1160,1013,966,2126,5,185000
2005,5,Gd,2544,FV,4,2005,Lvl,0,2,520,600,623,1223,7,147400
1957,5,TA,11900,RL,6,1957,Lvl,1040,2,1392,1392,0,1392,6,166000
2005,5,Gd,3180,FV,4,2005,Lvl,0,2,520,600,600,1200,7,151000
2003,6,Gd,9548,RL,7,2003,Lvl,483,2,941,941,888,1829,7,237000
1964,6,TA,10004,RL,6,1964,Lvl,196,2,1516,1516,0,1516,6,167000
1961,6,TA,7875,RL,6,1961,Lvl,572,2,1144,1144,0,1144,5,139950
1995,7,Gd,9600,RL,4,1950,Lvl,442,2,1067,1067,0,1067,4,128000
1973,6,TA,8100,RM,5,1948,Lvl,338,2,1559,1559,0,1559,5,153500
1973,5,TA,1680,RM,5,1973,Lvl,330,1,483,483,504,987,6,100000
2006,6,Gd,9525,RL,6,1995,Lvl,0,1,1099,1099,0,1099,5,144000
1995,6,TA,11767,RL,6,1946,Lvl,352,1,768,768,432,1200,5,130500
1950,8,TA,12155,RH,7,1925,Lvl,156,1,810,672,672,1482,6,140000
2002,8,TA,10440,RM,8,1904,Lvl,0,2,958,650,581,1539,5,157500
1966,7,TA,9020,RL,6,1966,Lvl,312,2,1165,1127,0,1165,6,174900
1961,4,TA,8000,RL,10,1961,Lvl,0,0,1800,1800,0,1800,5,141000
1950,8,TA,12665,RM,7,1915,Lvl,0,3,876,876,540,1416,5,153900
1981,5,Gd,16647,RL,6,1975,Lvl,1390,2,1701,1390,0,1701,5,171000
1993,5,Gd,9317,RL,7,1993,Lvl,513,2,1006,740,769,1775,7,213000
1972,6,TA,15523,RL,5,1972,Lvl,460,1,864,864,0,864,5,133500
1997,8,TA,45600,RL,10,1908,Bnk,0,2,1307,907,1051,2358,6,240000
1994,7,TA,9600,RL,7,1976,Lvl,0,2,1094,528,761,1855,6,187000
2003,5,Gd,4435,RM,3,2003,Lvl,659,2,848,848,0,848,6,131500
2003,5,Gd,3196,RL,7,2003,Lvl,0,2,1456,1273,0,1456,8,215000
1950,5,TA,7128,RL,7,1941,Lvl,364,1,918,918,728,1646,7,164000
1964,6,TA,12095,RL,7,1964,Lvl,564,2,1445,1127,0,1445,6,158000
1974,4,TA,17920,RL,6,1955,Lvl,306,2,1779,1763,0,1779,5,170000
2010,8,TA,6897,RL,6,1962,Lvl,659,1,1040,1040,0,1040,5,127000
1978,6,Gd,10970,RL,5,1978,Low,505,2,1026,940,0,1026,6,147000
1995,5,Gd,8125,RL,6,1994,Lvl,0,2,702,702,779,1481,6,174000
1976,5,Gd,10400,RL,6,1976,Lvl,0,2,1370,1090,0,1370,7,152000
1984,7,TA,11029,RL,9,1968,Lvl,619,2,1512,1054,1142,2654,6,250000
1998,8,TA,7642,RL,7,1918,Lvl,0,1,912,912,514,1426,7,189950
1965,4,TA,11625,RL,6,1965,Lvl,841,2,1039,1039,0,1039,5,131500
1985,5,Gd,9672,RL,6,1984,Lvl,338,2,1097,1040,0,1097,6,152000
1959,5,TA,7931,RL,6,1959,Lvl,1148,1,1148,1148,0,1148,5,132500
2008,5,Ex,8640,FV,6,2007,Lvl,0,2,1372,1372,0,1372,7,250580
1970,6,TA,8750,RL,5,1970,Lvl,828,2,1002,1002,0,1002,5,148500
2007,5,Gd,10656,RL,6,2006,HLS,0,3,1646,1638,0,1646,8,248900
1961,5,TA,6970,RL,5,1961,Lvl,932,2,1120,1040,0,1120,4,129000
1950,6,,14762,RL,7,1948,Lvl,0,2,1547,0,720,2320,5,169000
1994,5,Gd,9938,RL,8,1993,Lvl,750,2,1062,1050,887,1949,7,236000
1962,5,TA,6600,RL,5,1962,Lvl,0,1,894,894,0,894,5,109500
1998,5,Gd,8750,RL,7,1998,Lvl,505,2,804,804,878,1682,6,200500
1996,7,TA,8892,RL,5,1953,Lvl,0,2,910,105,0,910,5,116000
1950,7,TA,12144,RL,6,1949,Lvl,375,1,1036,832,0,1268,5,133000
1950,6,TA,5720,RM,5,1941,Lvl,0,1,676,676,455,1131,5,66500
2007,5,Gd,9000,FV,11,2007,Lvl,64,2,1184,1184,1426,2610,8,303477
1963,5,TA,25286,RL,5,1963,HLS,633,2,1040,1064,0,1040,4,132250
2005,5,Ex,8834,RL,10,2004,Lvl,1170,3,1462,1462,762,2224,9,350000
1995,7,TA,11782,RL,6,1961,Lvl,899,2,1155,1109,0,1155,5,148000
2005,8,TA,7000,RL,6,1978,Lvl,646,1,864,864,0,864,5,136500
2006,5,Ex,7024,RL,5,2005,Lvl,980,2,1090,1090,0,1090,5,157000
1991,5,Gd,13758,RL,7,1990,Lvl,902,2,1187,1156,530,1717,7,187500
1993,5,Gd,9636,RL,7,1992,Lvl,0,2,808,808,785,1593,6,178000
1950,5,TA,6204,RL,10,1912,Bnk,0,1,954,795,795,2230,4,118500
1967,5,TA,7150,RL,5,1967,Lvl,432,1,892,892,0,892,5,100000
2000,5,Ex,5119,FV,5,1999,Lvl,1238,2,1709,1698,0,1709,9,328900
2005,5,TA,8393,RL,8,1959,Lvl,528,2,1712,1626,0,1712,5,145000
1955,7,TA,16466,RL,8,1955,Lvl,0,1,872,816,521,1393,5,135500
1970,6,TA,15865,RL,8,1970,Lvl,351,2,2217,2217,0,2217,8,268000
1953,4,TA,12160,RL,6,1953,Lvl,1024,2,1505,1505,0,1505,6,149500
2006,7,TA,8064,RL,6,1949,Lvl,0,2,672,672,252,924,5,122900
1978,5,TA,11184,RL,7,1978,Lvl,226,2,918,918,765,1683,6,172500
2003,8,TA,8414,RL,6,1963,Lvl,663,1,1068,1059,0,1068,6,154500
1954,5,Gd,13284,RL,6,1954,Lvl,1064,1,1383,1383,0,1383,5,165000
1979,5,,7018,RL,8,1979,Bnk,0,2,1535,0,0,1535,5,118858
1963,5,TA,7056,RL,8,1963,Lvl,400,2,983,780,813,1796,6,140000
1950,6,TA,8765,RM,6,1936,Lvl,285,1,951,951,0,951,4,106500
1979,5,,7018,RL,12,1979,Lvl,0,2,1120,0,1120,2240,5,142953
2010,5,Ex,12919,RL,11,2009,Lvl,2188,3,2364,2330,0,2364,9,611657
1994,7,TA,6993,RL,6,1961,Lvl,465,1,1236,912,0,1236,5,135000
1971,6,TA,7340,RL,4,1971,Lvl,322,1,858,858,0,858,4,110000
2000,7,TA,8712,RL,5,1957,Lvl,860,1,1306,992,0,1306,5,153000
2003,5,Gd,7875,RL,8,2003,Lvl,0,2,807,783,702,1509,7,180000
2006,5,Gd,14859,RL,7,2006,HLS,0,3,1670,1670,0,1670,7,240000
1967,6,TA,6173,RL,6,1967,Lvl,599,1,902,876,0,902,5,125500
1954,5,TA,9920,RL,6,1954,Lvl,354,1,1063,1056,0,1063,5,128000
2006,5,Gd,13501,RL,8,2006,Lvl,63,3,1636,1623,0,1636,8,255000
1987,7,Gd,11500,RL,6,1936,Lvl,223,1,1020,1017,1037,2057,7,250000
1983,5,Gd,8885,RL,5,1983,Low,301,2,902,864,0,902,5,131000
2005,5,Gd,12589,RL,8,2005,Lvl,0,2,742,742,742,1484,6,174000
1960,5,TA,11600,RL,12,1960,Lvl,443,2,1105,1105,1169,2274,5,154300
1989,7,Gd,9286,RL,5,1977,Lvl,196,1,1268,1268,0,1268,5,143500
1950,7,TA,6120,RM,6,1925,Lvl,489,1,1015,768,0,1015,5,88000
1950,6,TA,6270,RH,8,1949,HLS,284,3,1001,1001,1001,2002,5,145000
2009,5,Gd,3000,FV,4,2009,Lvl,294,2,612,612,612,1224,6,173733
1970,5,TA,2001,RM,6,1970,Lvl,0,1,546,546,546,1092,4,75000
1950,3,TA,9000,C (all),4,1949,Lvl,50,1,480,480,0,480,2,35311
1956,6,TA,17140,RL,6,1956,Lvl,1059,1,1229,1134,0,1229,4,135000
1991,5,Ex,13125,RL,8,1991,Lvl,48,3,912,1104,1215,2127,7,238000
2002,8,Gd,11029,RL,6,1958,Lvl,528,2,1414,1184,0,1414,6,176500
1994,5,Gd,8462,RL,7,1994,Lvl,814,2,936,928,785,1721,6,201000
2003,7,TA,8777,RL,9,1900,Lvl,1084,0,1272,1272,928,2200,5,145900
2006,5,Gd,10237,RL,6,2005,Lvl,28,2,1316,1316,0,1316,6,169990
1994,5,Gd,8012,RL,5,1993,Lvl,165,2,1617,1604,0,1617,6,193000
1980,6,Gd,10240,RL,7,1980,Lvl,625,2,1686,1686,0,1686,6,207500
1977,6,Gd,15611,RL,6,1977,Lvl,767,2,1126,1126,0,1126,5,175000
2004,5,Gd,11999,RL,10,2003,Lvl,0,3,1234,1181,1140,2374,8,285000
1968,5,TA,9900,RL,9,1968,Lvl,552,2,1098,832,880,1978,7,176000
2001,5,Gd,11838,RL,7,2001,Lvl,0,2,1788,1753,0,1788,8,236500
1997,5,Gd,13006,RL,8,1997,Lvl,0,2,993,964,1243,2236,7,222000
2007,5,Gd,8925,RL,7,2007,HLS,16,3,1466,1466,0,1466,8,201000
1965,6,TA,9100,RL,5,1965,Lvl,338,1,925,925,0,925,5,117500
2006,5,Ex,11670,RL,8,2006,Lvl,0,3,1905,1905,0,1905,9,320000
2004,5,Gd,8487,RL,6,2004,Lvl,20,2,1500,1500,0,1500,7,190000
2007,7,Gd,27650,RL,9,1960,HLS,425,2,2069,585,0,2069,7,242000
1953,5,Fa,5825,RL,5,1926,Lvl,0,2,747,600,0,747,4,79900
2003,5,Gd,10083,RL,5,2003,Lvl,833,2,1200,1176,0,1200,7,184900
2005,5,Gd,9675,RL,8,2005,Lvl,341,2,1113,1113,858,1971,7,253000
2006,5,Gd,8760,RL,7,2006,Lvl,464,3,1391,1391,571,1962,7,239799
1950,7,TA,24090,RL,10,1940,Lvl,0,1,1207,1032,1196,2403,7,244400
1976,5,TA,12640,RL,8,1976,Lvl,936,2,1728,1728,0,1728,6,150900
1999,5,Gd,8755,RL,8,1999,Lvl,772,2,1022,992,1038,2060,7,214000
1977,3,Gd,7711,RL,8,1977,Lvl,1440,0,1440,1440,0,1440,4,150000
1967,4,TA,25000,RL,8,1967,Low,0,2,1632,1632,0,1632,5,143000
1958,6,TA,14375,RL,7,1958,Lvl,111,2,1344,819,0,1344,6,137500
1996,6,TA,8820,RM,7,1890,Lvl,1088,2,1188,1088,561,1869,5,124900
1959,6,TA,8163,RL,6,1959,Lvl,748,1,1144,1144,0,1144,5,143000
2003,5,Gd,14536,RL,9,2002,Lvl,1300,3,1629,1616,0,1629,8,270000
2002,5,Gd,14006,RL,7,2002,Lvl,0,2,936,936,840,1776,7,192500
2006,7,TA,9360,RL,5,1972,Lvl,982,2,1381,1161,0,1381,6,197500
2002,8,TA,7200,RL,5,1950,Lvl,398,2,864,864,0,864,5,129000
